issue_id,user_id,node_id,rank
i1,u0,v1,2
i1,u0,v2,2
i1,u0,v3,-1
i1,u0,v4,-1
i1,u0,v5,2
i1,u0,o1,-1
i1,u0,o2,-2
i1,u0,o3,-1
i1,u0,o4,-1
i1,u0,o5,0
i1,u0,p1,-1
i1,u0,p2,-1
i1,u0,p3,0
i1,u0,p4,1
i1,u0,p5,-2
i1,u0,p8,1
i1,u1,v1,-1
i1,u1,v2,1
i1,u1,v3,1
i1,u1,v4,1
i1,u1,v5,-1
i1,u1,o1,-2
i1,u1,o2,2
i1,u1,o3,1
i1,u1,o4,0
i1,u1,o5,2
i1,u1,p1,0
i1,u1,p2,-1
i1,u1,p3,0
i1,u1,p4,2
i1,u1,p5,1
i1,u1,p8,0
i1,u2,v1,1
i1,u2,v2,-1
i1,u2,v3,2
i1,u2,v4,-2
i1,u2,v5,-2
i1,u2,o1,1
i1,u2,o2,-2
i1,u2,o3,1
i1,u2,o4,0
i1,u2,o5,2
i1,u2,p1,1
i1,u2,p2,-1
i1,u2,p3,2
i1,u2,p4,2
i1,u2,p5,0
i1,u2,p8,-1
i1,u3,v1,2
i1,u3,v2,2
i1,u3,v3,-1
i1,u3,v4,-2
i1,u3,v5,-1
i1,u3,o1,2
i1,u3,o2,1
i1,u3,o3,1
i1,u3,o4,1
i1,u3,o5,0
i1,u3,p1,-2
i1,u3,p2,-2
i1,u3,p3,-1
i1,u3,p4,-1
i1,u3,p5,-1
i1,u3,p8,-2
i1,u4,v1,-2
i1,u4,v2,-2
i1,u4,v3,-2
i1,u4,v4,-1
i1,u4,v5,1
i1,u4,o1,0
i1,u4,o2,0
i1,u4,o3,1
i1,u4,o4,1
i1,u4,o5,2
i1,u4,p1,1
i1,u4,p2,-1
i1,u4,p3,-1
i1,u4,p4,-1
i1,u4,p5,-1
i1,u4,p8,2
i1,u5,v1,2
i1,u5,v2,-2
i1,u5,v3,0
i1,u5,v4,2
i1,u5,v5,-1
i1,u5,o1,-1
i1,u5,o2,-1
i1,u5,o3,-2
i1,u5,o4,-2
i1,u5,o5,-1
i1,u5,p1,-2
i1,u5,p2,1
i1,u5,p3,1
i1,u5,p4,-1
i1,u5,p5,2
i1,u5,p8,0
i1,u6,v1,-2
i1,u6,v2,2
i1,u6,v3,-2
i1,u6,v4,-1
i1,u6,v5,1
i1,u6,o1,1
i1,u6,o2,2
i1,u6,o3,2
i1,u6,o4,2
i1,u6,o5,2
i1,u6,p1,-2
i1,u6,p2,-1
i1,u6,p3,-2
i1,u6,p4,-2
i1,u6,p5,0
i1,u6,p8,2
i1,u7,v1,0
i1,u7,v2,2
i1,u7,v3,2
i1,u7,v4,2
i1,u7,v5,0
i1,u7,o1,-1
i1,u7,o2,1
i1,u7,o3,0
i1,u7,o4,1
i1,u7,o5,-2
i1,u7,p1,0
i1,u7,p2,-1
i1,u7,p3,1
i1,u7,p4,2
i1,u7,p5,0
i1,u7,p8,-1
i1,u8,v1,-2
i1,u8,v2,1
i1,u8,v3,0
i1,u8,v4,2
i1,u8,v5,1
i1,u8,o1,2
i1,u8,o2,0
i1,u8,o3,-2
i1,u8,o4,2
i1,u8,o5,2
i1,u8,p1,1
i1,u8,p2,-1
i1,u8,p3,-1
i1,u8,p4,-2
i1,u8,p5,-2
i1,u8,p8,-1
i1,u9,v1,0
i1,u9,v2,-2
i1,u9,v3,-1
i1,u9,v4,0
i1,u9,v5,1
i1,u9,o1,0
i1,u9,o2,1
i1,u9,o3,2
i1,u9,o4,-2
i1,u9,o5,-2
i1,u9,p1,1
i1,u9,p2,2
i1,u9,p3,1
i1,u9,p4,0
i1,u9,p5,-2
i1,u9,p8,-2
i1,u10,v1,0
i1,u10,v2,-2
i1,u10,v3,2
i1,u10,v4,-2
i1,u10,v5,2
i1,u10,o1,-2
i1,u10,o2,0
i1,u10,o3,1
i1,u10,o4,0
i1,u10,o5,1
i1,u10,p1,0
i1,u10,p2,0
i1,u10,p3,2
i1,u10,p4,0
i1,u10,p5,1
i1,u10,p8,1
i1,u11,v1,0
i1,u11,v2,0
i1,u11,v3,-1
i1,u11,v4,-2
i1,u11,v5,-2
i1,u11,o1,1
i1,u11,o2,-2
i1,u11,o3,0
i1,u11,o4,-1
i1,u11,o5,1
i1,u11,p1,1
i1,u11,p2,2
i1,u11,p3,2
i1,u11,p4,0
i1,u11,p5,-2
i1,u11,p8,-2
i1,u12,v1,2
i1,u12,v2,-1
i1,u12,v3,-1
i1,u12,v4,1
i1,u12,v5,2
i1,u12,o1,-2
i1,u12,o2,0
i1,u12,o3,2
i1,u12,o4,-1
i1,u12,o5,1
i1,u12,p1,-2
i1,u12,p2,2
i1,u12,p3,0
i1,u12,p4,-2
i1,u12,p5,-1
i1,u12,p8,1
i1,u13,v1,2
i1,u13,v2,-1
i1,u13,v3,-2
i1,u13,v4,2
i1,u13,v5,-2
i1,u13,o1,0
i1,u13,o2,-2
i1,u13,o3,2
i1,u13,o4,-1
i1,u13,o5,-2
i1,u13,p1,-2
i1,u13,p2,1
i1,u13,p3,2
i1,u13,p4,2
i1,u13,p5,1
i1,u13,p8,-2
i1,u14,v1,2
i1,u14,v2,-2
i1,u14,v3,-1
i1,u14,v4,2
i1,u14,v5,2
i1,u14,o1,0
i1,u14,o2,-1
i1,u14,o3,-2
i1,u14,o4,-1
i1,u14,o5,0
i1,u14,p1,2
i1,u14,p2,0
i1,u14,p3,2
i1,u14,p4,2
i1,u14,p5,0
i1,u14,p8,1
i1,u15,v1,0
i1,u15,v2,2
i1,u15,v3,-2
i1,u15,v4,1
i1,u15,v5,-1
i1,u15,o1,-2
i1,u15,o2,0
i1,u15,o3,-2
i1,u15,o4,2
i1,u15,o5,-2
i1,u15,p1,2
i1,u15,p2,1
i1,u15,p3,2
i1,u15,p4,2
i1,u15,p5,2
i1,u15,p8,0
i1,u16,v1,1
i1,u16,v2,2
i1,u16,v3,1
i1,u16,v4,2
i1,u16,v5,0
i1,u16,o1,0
i1,u16,o2,-2
i1,u16,o3,0
i1,u16,o4,-2
i1,u16,o5,-1
i1,u16,p1,-1
